Aari                          - aiw
Mara                          - mec
Mara Chin                     - mrh
Maranao                       - mrw
Maranunggu                    - zmr
Marathi                       - mar
Marathi                       - mr
Marau                         - mvr
Marghi Central                - mrt
Mari                          - chm
Mari                          - hob
Mari                          - mbx
Maricopa                      - mrc
Marithiel                     - mfr
Marka                         - rkm
Marshallese                   - mah
Marshallese                   - mh
Marsian                       - ims
Marti Ke                      - zmg
Martuyhunira                  - vma
Marwari                       - mwr
Marwari                       - mwr
Marwari                       - rwr
Masaaba                       - myx
Masadiit Itneg                - tis
Masai                         - mas
Mashi                         - jms
Matengo                       - mgv
Mato                          - met
Matumbi                       - mgw
Maung                         - mph
Mayangna                      - yan
Maykulan                      - mnt
Mayo                          - mfy
Mazanderani                   - mzn
Mbabaram                      - vmb
Mbu'                          - muc
Mbula                         - mna
Mbunga                        - mgy
Mbyá Guaraní                  - gun
Megleno Romanian              - ruq
Mekeo                         - mek
Melo                          - mfx
Melpa                         - med
Mende                         - men
Mende                         - sim
Mengen                        - mee
Menominee                     - mez
Meriam                        - ulk
Meru                          - mer
Mescalero-Chiricahua Apache   - apm
Mesmes                        - mys
Mesopotamian Arabic           - acm
Meyah                         - mej
Miami                         - mia
Mian                          - mpt
Michif                        - crg
Micmac                        - mic
Middle Breton                 - xbm
Middle Dutch                  - dum
Middle English                - enm
Middle French                 - frm
Middle High German            - gmh
Middle Irish                  - mga
Middle Korean                 - okm
Middle Low German             - gml
Middle Welsh                  - wlm
Midob                         - mei
Min Dong Chinese              - cdo
Min Nan Chinese               - nan
Mina                          - hna
Minangkabau                   - min
Mingrelian                    - xmf
Minica Huitoto                - hto
Minoan                        - omn
Mirandese                     - mwl
Misima-Paneati                - mpx
Mitla Zapotec                 - zaw
Miya                          - mkf
Miyako                        - mvi
Moabite                       - obm
Mobilian                      - mod
Mochi                         - old
Mochica                       - omc
Mocho                         - mhc
Modern Romanic                - mis_mro
Mofu-Gudur                    - mif
Mogholi                       - mhj
Mohave                        - mov
Mohawk                        - moh
Moksha                        - mdf
Moloko                        - mlw
Mom Jango                     - ver
Mon                           - mnw
Mongo                         - lol
Mongolian                     - mn
Mongolian                     - mon
Montagnais                    - moe
Monumbo                       - mxk
Monzombo                      - moj
Moose Cree                    - crm
Mopán Maya                    - mop
Morawa                        - mze
Morisyen                      - mfe
Moro                          - mor
Moroccan Arabic               - ary
Mossi                         - mos
Mota                          - mtt
Motu                          - meu
Movima                        - mzp
Mozarabic                     - mxi
Mpoto                         - mpa
Mudbura                       - mwd
Muduapa                       - wiv
Multiple Languages            - mul
Muna                          - mnb
Mundabli                      - boe
Mundari                       - unr
Mundat                        - mmf
Mundurukú                     - myu
Mungaka                       - mhk
Munggui                       - mth
Muniche                       - myr
Munji                         - mnj
Munsee                        - umu
Muong                         - mtq
Murrinh-Patha                 - mwf
Murui Huitoto                 - huu
Muslim Tat                    - ttt
Muyang                        - muy
Muyuw                         - myw
Mwaghavul                     - sur
Mwan                          - moa
Mwera                         - mwe
Mycenaean Greek               - gmy
Myene                         - mye
Mískito                       - miq
Mócheno                       - mhn
N/u                           - ngh
Nafaanra                      - nfr
Nafusi                        - jbn
Nage                          - nxe
Nahali                        - nlx
Nahuatl                       - nah
Najdi Arabic                  - ars
Naka'ela                      - nae
Nakanai                       - nak
Nalik                         - nal
Nama                          - naq
Namakura                      - nmk
Namia                         - nnm
Namla                         - naa
Nanai                         - gld
Nande                         - nnb
Nangikurrunggurr              - nam
Nanticoke                     - nnt
Narom                         - nrm
Narrinyeri                    - nay
Naskapi                       - nsk
Nataoran Amis                 - ais
Natchez                       - ncz
Nauru                         - na
Nauru                         - nau
Navajo                        - nav
Navajo                        - nv
Nawuri                        - naw
Ndali                         - ndh
Ndamba                        - ndj
Ndemli                        - nml
Ndengereko                    - ndg
Ndogo                         - ndz
Ndonga                        - ndo
Ndonga                        - ng
Neapolitan                    - nap
Negerhollands                 - dcr
Negidal                       - neg
Nehan                         - nsn
Nemi                          - nem
Nenets                        - yrk
Nengone                       - nen
Nepali                        - ne
Nete                          - net
Newari                        - new
Neyo                          - ney
Nez Perce                     - nez
Ngaanyatjarra                 - ntj
Ngad'a                        - nxg
Ngaju                         - nij
Ngambay                       - sba
Nganasan                      - nio
Nganyaywana                   - nyx
Ngarinyin                     - ung
Ngas                          - anc
Ngawun                        - nxn
Ngazidja Comorian             - zdj
Ngie                          - ngj
Ngiemboon                     - nnh
Ngindo                        - nnq
Ngiti                         - niy
Ngizim                        - ngi
Ngombe                        - ngc
Ngoni                         - ngo
Ngulu                         - ngp
Ngundu                        - nue
Ngurimi                       - ngq
Nhanda                        - nha
Nhengatu                      - yrl
Nias                          - nia
Niellim                       - nie
Nigerian Pidgin               - pcm
Nihali                        - nll
Nilamba                       - nim
Nimboran                      - nir
Nimi                          - nis
Ningye                        - nns
Ninzo                         - nin
Nisenan                       - nsz
Niuafo'ou                     - num
Niuean                        - niu
Nkoroo                        - nkx
Nobiin                        - fia
Nobonob                       - gaw
Nogai                         - nog
Nomatsiguenga                 - not
Nomu                          - noh
Norn                          - nrn
North Alaskan Inupiatun       - esi
North Azerbaijani             - azj
North Levantine Arabic        - apc
North Marquesan               - mrq
North Ndebele                 - nd
North Ndebele                 - nde
Northeastern Thai             - tts
Northern Amami-Oshima         - ryn
Northern Dagara               - dgi
Northern Emberá               - emp
Northern Frisian              - frr
Northern Kissi                - kqs
Northern Kurdish              - kmr
Northern Ohlone               - cst
Northern Paiute               - pao
Northern Pomo                 - pej
Northern Qiandong Miao        - hea
Northern Qiang                - cng
Northern Sami                 - se
Northern Sami                 - sme
Northern Sotho                - nso
Northern Thai                 - nod
Northern Tiwa                 - twf
Northern Tujia                - tji
Northern Tutchone             - ttm
Northern Uzbek                - uzn
Northern Yukaghir             - ykg
Norwegian                     - nb
Norwegian                     - nor
Norwegian Nynorsk             - nn
Norwegian Nynorsk             - nno
Nottoway-Meherrin             - nwy
Novial                        - nov
Nubi                          - kcn
Nuer                          - nus
Nugunu                        - nnv
Nukuoro                       - nkr
Numana-Nunku-Gbantu-Numbu     - nbr
Numee                         - kdk
Nungu                         - rin
Nupe-Nupe-Tako                - nup
Nusa Laut                     - nul
Nyakyusa-Ngonde               - nyy
Nyambo                        - now
Nyamwanga                     - mwn
Nyamwezi                      - nym
Nyanja                        - ny
Nyanja                        - nya
Nyankole                      - nyn
Nyarafolo Senoufo             - sev
Nyasa Tonga                   - tog
Nyaturu                       - rim
Nyawaygi                      - nyt
Nyenkha                       - neh
Nyiha                         - nih
Nyoro                         - nyo
Nyunga                        - nys
Nyâlayu                       - yly
Nzanyi                        - nja
Nzima                         - nzi
Ná-Meo                        - neo
Nêlêmwa-Nixumwak              - nee
Obispeño                      - obi
Obolo                         - ann
Ocaina                        - oca
Occitan                       - oc
Ogbah                         - ogc
Ogea                          - eri
Ojibwa                        - oj
Ojibwa                        - oji
Okodia                        - okd
Oksapmin                      - opm
Old Chinese                   - och
Old Dutch                     - odt
Old English                   - ang
Old French                    - fro
Old Frisian                   - ofs
Old Georgian                  - oge
Old High German               - goh
Old Hungarian                 - ohu
Old Irish                     - sga
Old Japanese                  - ojp
Old Korean                    - oko
Old Norse                     - non
Old Nubian                    - onw
Old Persian                   - peo
Old Provençal                 - pro
Old Russian                   - orv
Old Saxon                     - osx
Old Spanish                   - osp
Old Turkish                   - otk
Old Welsh                     - owl
Omaha-Ponca                   - oma
Ona                           - ona
Oneida                        - one
Onondaga                      - ono
Ontong Java                   - ojv
Orejón                        - ore
Oriya                         - or
Oro                           - orx
Oroch                         - oac
Orok                          - oaa
Oromo                         - om
Oromo                         - orm
Oroqen                        - orh
Oruma                         - orr
Osage                         - osa
Oscan                         - osc
Ossetic                       - os
Ottawa                        - otw
Ottoman Turkish               - ota
Otuho                         - lot
Oyda                          - oyd
Paama                         - pma
Pacific Gulf Yupik            - ems
Pacoh                         - pac
Pahlavi                       - pal
Paicî                         - pri
Paiwan                        - pwn
Pakanha                       - pkn
Pakaásnovos                   - pav
Palauan                       - pau
Pali                          - pi
Pali                          - pli
Palu'e                        - ple
Pampanga                      - pam
Panamint                      - par
Pangasinan                    - pag
Pangwa                        - pbr
Panoan Katukína               - knt
Panytyima                     - pnw
Papantla Totonac              - top
Papiamento                    - pap
Papuma                        - ppm
Paraguayan Guaraní            - gug
Parauk                        - prk
Parkwa                        - pbi
Parsi-Dari                    - prd
Parthian                      - xpr
Pashto                        - ps
Pattani                       - lae
Paumarí                       - pad
Pawnee                        - paw
Pe                            - pai
Pennsylvania German           - pdc
Penrhyn                       - pnh
Persian                       - fa
Persian                       - fas
Pfaelzisch                    - pfl
Phalura                       - phl
Phoenician                    - phn
Phrygian                      - xpg
Phuie                         - pug
Piapoco                       - pio
Piaroa                        - pid
Picard                        - pcd
Piemontese                    - pms
Pije                          - piz
Pijin                         - pis
Pimbwe                        - piw
Pinyin                        - pny
Pipil                         - ppl
Pirahã                        - myp
Piratapuyo                    - pir
Pitcairn-Norfolk              - pih
Pitjantjatjara                - pjt
Plains Cree                   - crk
Plains Miwok                  - pmw
Plautdietsch                  - pdt
Pochutec                      - xpo
Pogolo                        - poy
Pohnpeian                     - pon
Polabian                      - pox
Polari                        - pld
Polish                        - pl
Polish                        - pol
Pom                           - pmo
Pontic                        - pnt
Popti'                        - jac
Poqomam                       - poc
Poqomchi'                     - poh
Portuguese                    - por
Portuguese                    - pt
Potawatomi                    - pot
Potiguára                     - pog
Powhatan                      - pim
Primitive Irish               - pgl
Prussian                      - prg
Pulaar                        - fuc
Pumpokol                      - xpm
Punic                         - xpu
Punjabi                       - pa
Punu                          - puu
Purepecha                     - tsz
Puyuma                        - pyu
Páez                          - pbb
Pévé                          - lme
Q'anjob'al                    - kjb
Qawasqar                      - alc
Qimant                        - ahg
Quapaw                        - qua
Quechua                       - qu
Quechua                       - que
Quenya                        - qya
Quileute                      - qui
Rade                          - rad
Rajasthani                    - raj
Rao                           - rao
Rapanui                       - rap
Rarotongan                    - rar
Ratahan                       - rth
Rejang                        - rej
Rendille                      - rel
Rennell-Bellona               - mnv
Resígaro                      - rgr
Riang                         - ril
Riantana                      - ran
Rogo                          - rod
Rohingya                      - rhg
Romagnol                      - rgn
Romanian                      - ro
Romanian                      - ron
Romanova                      - rmv
Romansh                       - rm
Romansh                       - roh
Romany                        - rom
Rombo                         - rof
Ron                           - cla
Rotokas                       - roo
Rotuman                       - rtm
Roviana                       - rug
Rufiji                        - rui
Rukai                         - dru
Ruma                          - ruz
Rumu                          - klq
Rundi                         - rn
Rundi                         - run
Rungwa                        - rnw
Russia Buriat                 - bxr
Russian                       - ru
Russian                       - rus
Rusyn                         - rue
Rutul                         - rut
Rwa                           - rwk
Réunion Creole French         - rcf
S'gaw Karen                   - ksw
Sa                            - sax
Saamia                        - lsm
Saaroa                        - sxr
Sacapulteco                   - quv
Safwa                         - sbk
Saint Lucian Creole French    - acf
Saisiyat                      - xsy
Sakha                         - sah
Salar                         - slr
Saleman                       - sau
Salinan                       - sln
Sallands                      - sdz
Salt-Yui                      - sll
Samaritan Aramaic             - sam
Sambe                         - xab
Samoan                        - sm
Samoan                        - smo
Samogitian                    - sgs
Sampang                       - rav
Samtao                        - stu
San Blas Kuna                 - cuk
San Francisco Matlatzinca     - mat
San Jerónimo Tecóatl Mazatec  - maa
San Mateo Del Mar Huave       - huv
San Pedro Amuzgos Amuzgo      - azg
Sanapaná                      - sap
Sanapaná                      - spn
Sandawe                       - sad
Sangir                        - sxn
Sango                         - sag
Sango                         - sg
Sangu                         - sbp
Sansi                         - ssi
Sanskrit                      - sa
Sanskrit                      - san
Santa María Quiegolani Zapotec- zpi
Santali                       - sat
Saramaccan                    - srm
Sardinian                     - sc
Sardinian                     - srd
Sarikoli                      - srh
Sarsi                         - srs
Sasak                         - sas
Sassarese Sardinian           - sdc
Satawalese                    - stw
Saterfriesisch                - stq
Sauria Paharia                - mjt
Sawi                          - saw
Sawknah                       - swn
Sayula Popoluca               - pos
Scots                         - sco
Scottish Gaelic               - gd
Scottish Gaelic               - gla
Sea Island Creole English     - gul
Sebat Bet Gurage              - sgw
Sebop                         - sib
Secoya                        - sey
Sedang                        - sed
Seeku                         - sos
Seimat                        - ssg
Sekani                        - sek
Seke                          - ske
Seko Tengah                   - sko
Selepet                       - spl
Selkup                        - sel
Semai                         - sea
Semelai                       - sza
Senaya                        - syn
Seneca                        - see
Sened                         - sds
Sentani                       - set
Sepa                          - spe
Serbian                       - sr
Serbian                       - srp
Serbo Croatian                - sh
Serer                         - srr
Seri                          - sei
Serui-Laut                    - seu
Seselwa Creole French         - crs
Seze                          - sze
Sha                           - scw
Shabo                         - sbf
Shall-Zwall                   - sha
Shambala                      - ksb
Shan                          - shn
Shanga                        - sho
Sharanahua                    - mcd
Shawnee                       - sjw
Sheko                         - she
Shelta                        - sth
Sherpa                        - xsr
Shipibo-Conibo                - shp
Shona                         - sn
Shona                         - sna
Shor                          - cjs
Shoshoni                      - shh
Shuar                         - jiv
Shubi                         - suj
Shughni                       - sgh
Shuswap                       - shs
Sichuan Yi                    - ii
Sichuan Yi                    - iii
Sicilian                      - scn
Sidamo                        - sid
Sie                           - erg
Sikkimese                     - sip
Siksika                       - bla
Silesian                      - szl
Silt'e                        - stv
Simbali                       - smg
Sinaugoro                     - snc
Sindarin                      - sjn
Sindhi                        - sd
Sindhi                        - snd
Sinhala                       - si
Sinhala                       - sin
Sio                           - xsi
Siona                         - snn
Sipacapense                   - qum
Siri                          - sir
Siriano                       - sri
Sirionó                       - srq
Siroi                         - ssd
Sivandi                       - siy
Siwi                          - siz
Skolt Sami                    - sms
Slave                         - den
Slovak                        - sk
Slovak                        - slk
Slovenian                     - sl
Slovenian                     - slv
Snohomish                     - sno
Sobei                         - sob
Soga                          - xog
Sogdien                       - sog
Somali                        - so
Somali                        - som
Somba-Siawari                 - bmu
Somrai                        - sor
Soninke                       - snk
Sonsorol                      - sov
Soo                           - teu
Soqotri                       - sqt
Sora                          - srb
Sorani Kurdish                - ckb
South Azerbaijani             - azb
South Efate                   - erk
South Giziga                  - giz
South Levantine Arabic        - ajp
South Ndebele                 - nbl
South Ndebele                 - nr
South Picene                  - spx
South Slavey                  - xsl
Southeast Ambrym              - tvk
Southeast Ijo                 - ijs
Southeast Pashayi             - psi
Southeastern Tepehuan         - stp
Southern Altai                - alt
Southern Amami-Oshima         - ams
Southern Balochi              - bcc
Southern Bobo Madaré          - bwq
Southern Dong                 - kmc
Southern Hindko               - hnd
Southern Nambikuára           - nab
Southern Ohlone               - css
Southern Puebla Mixtec        - mit
Southern Qiandong Miao        - hms
Southern Sama                 - ssb
Southern Sami                 - sma
Southern Sierra Miwok         - skd
Southern Sotho                - sot
Southern Sotho                - st
Southern Yukaghir             - yux
Sowa                          - sww
Spanish                       - es
Spanish                       - spa
Squamish                      - squ
Sranan Tongo                  - srn
Standard Arabic               - arb
Standard Latvian              - lvs
Stoney                        - sto
Straits Salish                - str
Suba                          - sxb
Sudanese Arabic               - apd
Sudest                        - tgo
Sudovian                      - xsv
Suena                         - sue
Suki                          - sui
Sukuma                        - suk
Sukur                         - syk
Sumbwa                        - suw
Sumerian                      - sux
Sumi Naga                     - nsm
Sundanese                     - su
Sundanese                     - sun
Sur                           - tdl
Surigaonon                    - sgd
Sursurunga                    - sgz
Susu                          - sus
Svan                          - sva
Swabian                       - swg
Swahili                       - sw
Swati                         - ss
Swati                         - ssw
Swedish                       - sv
Swedish                       - swe
Swiss German                  - gsw
Sylheti                       - syl
Syriac                        - syr
Sáliba                        - slc
Sãotomense                    - cri
Sô                            - sss
Tabasco Chontal               - chf
Tabassaran                    - tab
Tacana                        - tna
Tachelhit                     - shi
Tadaksahak                    - dsq
Tagalog                       - tgl
Tagalog                       - tl
Tagish                        - tgx
Tahitian                      - tah
Tahitian                      - ty
Tai Dam                       - blt
Tai Nüa                       - tdd
Taino                         - tnq
Taita                         - dav
Tajik                         - tg
Tajik                         - tgk
Takia                         - tbc
Takuu                         - nho
Tala                          - tak
Talysh                        - tly
Tamanaku                      - tmz
Tamashek                      - tmh
Tamasheq                      - taq
Tambas                        - tdk
Tamil                         - ta
Tamil                         - tam
Tanaina                       - tfn
Tangoa                        - tgp
Tanimuca-Retuarã              - tnc
Tanjijili                     - uji
Tariana                       - tae
Tarifit                       - rif
Tarok                         - yer
Taroko                        - trv
Tase Naga                     - nst
Tasmanian                     - xtz
Tatar                         - tat
Tatar                         - tt
Tatuyo                        - tav
Taushiro                      - trr
Tausug                        - tsg
Tauya                         - tya
Tawala                        - tbo
Tay Boi                       - tas
Tebul Ure Dogon               - dtu
Tedaga                        - tuq
Tee                           - tkq
Tehuelche                     - teh
Tektiteko                     - ttc
Telugu                        - te
Telugu                        - tel
Temein                        - teq
Temi                          - soz
Temiar                        - tea
Ter Sami                      - sjt
Tereno                        - ter
Teressa                       - tef
Ternate                       - tft
Tese                          - keg
Tetum                         - tet
Tetun Dili                    - tdt
Tewa                          - twe
Thai                          - th
Thai                          - tha
Thao                          - ssf
Tharaka                       - thk
Thompson                      - thp
Thracian                      - txh
Thu Lao                       - tyl
Tibetan                       - bo
Tibetan                       - bod
Tigre                         - tig
Tigrinya                      - ti
Tigrinya                      - tir
Tikopia                       - tkp
Tillamook                     - til
Timucua                       - tjm
Tindi                         - tin
Tinà Sambal                   - xsb
Tiv                           - tiv
Tiwi                          - tiw
Tlingit                       - tli
Tobian                        - tox
Toda                          - tcx
Tohono O'odham                - ood
Tojolabal                     - toj
Tok Pisin                     - tpi
Tokelau                       - tkl
Tokharian A                   - xto
Tokharian B                   - txb
Tolomako                      - tlm
Tonga                         - tnz
Tonga                         - toi
Tongan                        - to
Tonkawa                       - tqw
Tooro                         - ttj
Toraja-Sa'dan                 - sda
Tornedalen Finnish            - fit
Toro                          - tdv
Torres Strait Creole          - tcs
Torwali                       - trw
Tosk Albanian                 - als
Totoro                        - ttk
Toura                         - don
Toura                         - neb
Transalpine Gaulish           - xtg
Trimuris                      - tip
Trinitario                    - trn
Trió                          - tri
Tsakhur                       - tkr
Tsamai                        - tsb
Tsimihety Malagasy            - xmw
Tsimshian                     - tsi
Tsonga                        - ts
Tsonga                        - tso
Tsou                          - tsu
Tsuvadi                       - tvd
Tswana                        - tn
Tswana                        - tsn
Tswapong                      - two
Tu                            - mjg
Tuamotuan                     - pmt
Tucano                        - tuo
Tukudede                      - tkd
Tulu                          - tcy
Tulu-Bohuai                   - rak
Tumbuka                       - tum
Tumtum                        - tbr
Tunica                        - tun
Tunisian Arabic               - aeb
Tunjung                       - tjg
Tupinambá                     - tpn
Tupí                          - tpw
Turkana                       - tuv
Turkic Khalaj                 - klj
Turkish                       - tr
Turkish                       - tur
Turkmen                       - tk
Turkmen                       - tuk
Tuscarora                     - tus
Tutelo                        - tta
Tuvalu                        - tvl
Tuvinian                      - tyv
Tuyuca                        - tue
Twents                        - twd
Twi                           - tw
Twi                           - twi
Tz'utujil                     - tzj
Tzeltal                       - tzh
Tzotzil                       - tzo
Tày Sa Pa                     - tys
U                             - uuu
Uab Meto                      - aoz
Ubykh                         - uby
Uda                           - uda
Udi                           - udi
Udihe                         - ude
Udmurt                        - udm
Ugaritic                      - uga
Uighur                        - ug
Uighur                        - uig
Ujir                          - udj
Ukrainian                     - uk
Ukrainian                     - ukr
Ukwa                          - ukq
Ulch                          - ulc
Ulithian                      - uli
Ulumanda'                     - ulm
Umbrian                       - xum
Umbundu                       - umb
Ume Sami                      - sju
Unami                         - unm
Unknown Language              - und
Unserdeutsch                  - uln
Upper Sorbian                 - hsb
Upper Tanana                  - tau
Upper Taromi                  - tov
Ura                           - uur
Urdu                          - ur
Urdu                          - urd
Urhobo                        - urh
Urim                          - uri
Urubú-Kaapor                  - urb
Urum                          - uum
Usarufa                       - usa
Ushojo                        - ush
Uspanteco                     - usp
Uzbek                         - uz
Uzbek                         - uzb
Vaagri Booli                  - vaa
Vai                           - vai
Vandalic                      - xvn
Vanimo                        - vam
Varhadi-Nagpuri               - vah
Vehes                         - val
Veluws                        - vel
Venda                         - ve
Venda                         - ven
Venetian                      - vec
Venetic                       - xve
Vengo                         - bav
Ventureño                     - veo
Veps                          - vep
Vestinian                     - xvs
Vidunda                       - vid
Vietnamese                    - vi
Vietnamese                    - vie
Vinza                         - vin
Vlaams                        - vls
Vlax Romani                   - rmy
Volapük                       - vo
Volapük                       - vol
Volscian                      - xvo
Votic                         - vot
Vunjo                         - vun
Vwanji                        - wbi
Võro                          - vro
Wabo                          - wbb
Waffa                         - waj
Wageman                       - waq
Waima                         - rro
Wakhi                         - wbl
Walamo                        - wal
Wallisian                     - wls
Walloon                       - wa
Walloon                       - wln
Walmajarri                    - wmt
Walo Kumbe Dogon              - dwl
Wambaya                       - wmb
Wampanoag                     - wam
Wan                           - wan
Wanda                         - wbh
Wandala                       - mfi
Wandamen                      - wad
Wangaaybuwan-Ngiyambaa        - wyb
Wantoat                       - wnc
Wanukaka                      - wnk
Wappo                         - wao
War-Jaintia                   - aml
Warao                         - wba
Waray                         - war
Waray                         - wrz
Wares                         - wai
Waris                         - wrs
Warji                         - wji
Warlpiri                      - wbp
Waropen                       - wrp
Warrgamay                     - wgy
Waskia                        - wsk
Waurá                         - wau
Wawa                          - www
Wayampi                       - oym
Wayu                          - vay
Wayuu                         - guc
Wejewa                        - wew
Welsh                         - cy
Welsh                         - cym
West Berawan                  - zbw
West Central Oromo            - gaz
West Kewa                     - kew
West Yugur                    - ybe
Western Abnaki                - abe
Western Apache                - apw
Western Arrarnta              - are
Western Canadian Inuktitut    - ikt
Western Frisian               - fry
Western Frisian               - fy
Western Kanjobal              - knj
Western Kayah                 - kyu
Western Keres                 - kjq
Western Maninkakan            - mlq
Western Mari                  - mrj
Western Ojibwa                - ojw
Western Panjabi               - pnb
Western Sisaala               - ssl
Wichita                       - wic
Wik-Epa                       - wie
Wik-Mungkan                   - wim
Wik-Ngathana                  - wig
Wintu                         - wit
Wintu                         - wnw
Wipi                          - gdr
Wiradhuri                     - wrh
Wogeo                         - woc
Woi                           - wbw
Wojenaka                      - jod
Wolio                         - wlo
Wolof                         - wo
Wolof                         - wol
Worimi                        - kda
Wu Chinese                    - wuu
Wuzlam                        - udl
Wyandot                       - wya
Wymysorys                     - wym
Xaasongaxango                 - kao
Xamtanga                      - xan
Xaragure                      - axx
Xavánte                       - xav
Xetá                          - xet
Xhosa                         - xh
Xhosa                         - xho
Xibe                          - sjo
Xinca                         - xin
Xipaya                        - xiy
Xârâcùù                       - ane
Yabem                         - jae
Yaeyama                       - rys
Yagnobi                       - yai
Yagua                         - yad
Yakan                         - yka
Yalunka                       - yal
Yamba                         - yam
Yami                          - tao
Yaminahua                     - yaa
Yamna                         - ymn
Yana                          - ynn
Yanda Dom Dogon               - dym
Yanesha'                      - ame
Yangkam                       - bsx
Yankunytjatjara               - kdd
Yanyuwa                       - jao
Yao                           - yao
Yaouré                        - yre
Yapese                        - yap
Yaqui                         - yaq
Yareba                        - yrb
Yatzachi Zapotec              - zav
Yavitero                      - yvt
Yawa                          - yva
Yawuru                        - ywr
Yazgulyam                     - yah
Yelmek                        - jel
Yemsa                         - jnj
Yendang                       - yen
Yendang                       - ynq
Yeskwa                        - yes
Yeyi                          - yey
Yiddish                       - yi
Yiddish                       - yid
Yidgha                        - ydg
Yidiny                        - yii
Yil                           - yll
Yindjibarndi                  - yij
Yine                          - pib
Yir Yoront                    - yiy
Yir Yoront                    - yyr
Yokuts                        - yok
Yola                          - yol
Yom                           - pil
Yonaguni                      - yoi
Yopno                         - yut
Yoruba                        - yo
Yoruba                        - yor
Yosondúa Mixtec               - mpm
Yuaga                         - nua
Yucateco                      - yua
Yuchi                         - yuc
Yucuna                        - ycn
Yugh                          - yuu
Yuki                          - yuk
Yukpa                         - yup
Yurok                         - yur
Yurutí                        - yui
Yámana                        - yag
Zaghawa                       - zag
Zanaki                        - zak
Zande                         - zne
Zapotec                       - zap
Zaramo                        - zaj
Zarma                         - dje
Zarphatic                     - zrp
Zayse-Zergulla                - zay
Zaza                          - zza
Zeeuws                        - zea
Zenaga                        - zen
Zhang-Zhung                   - xzh
Zhuang                        - za
Zhuang                        - zha
Zia                           - zia
Zigula                        - ziw
Zimba                         - zmb
Zinza                         - zin
Zoogocho Zapotec              - zpq
Zoroastrian Dari              - gbz
Zulgo-Gemzek                  - gnd
Zulu                          - zu
Zulu                          - zul
Zuni                          - zun
Záparo                        - zro
Àhàn                          - ahn
Ömie                          - aom
Önge                          - oon
